[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\CNrun296.csv
XTITLE=x
YTITLE=y

[DATA]
20 0 142
21 0 284
22 0 284
72 0 163
73 0 284
74 0 263
124 0 187
125 0 284
126 0 239
