[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\main-run393.csv
XTITLE=x
YTITLE=y

[DATA]
1282 0 1
5555 0 1
5577 0 1
6010 0 3
7023 0 1
