[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\A2run206.csv
XTITLE=x
YTITLE=y

[DATA]
82 0 1
809 0 1
1537 0 1
2265 0 1
2993 0 1
3722 0 1
4450 0 1
5178 0 1
5906 0 1
