[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\A2run173.csv
XTITLE=x
YTITLE=y

[DATA]
749 0 1
1477 0 1
2205 0 1
2933 0 1
3082 0 1
3661 0 1
3810 0 1
4389 0 1
4538 0 1
5117 0 1
5424 0 1
