[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\A2run353.csv
XTITLE=x
YTITLE=y

[DATA]
69 0 1
773 0 1
1478 0 1
2183 0 1
2888 0 1
