[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\CNrun228.csv
XTITLE=x
YTITLE=y

[DATA]
2 0 142
12 0 142
22 0 143
32 0 142
42 0 143
52 0 143
62 0 142
72 0 142
82 0 142
92 0 142
