[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\CNrun362.csv
XTITLE=x
YTITLE=y

[DATA]
1 0 277
2 0 288
3 0 155
53 0 277
54 0 288
55 0 155
105 0 278
106 0 289
107 0 154
