[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\CNrun325.csv
XTITLE=x
YTITLE=y

[DATA]
27 0 275
28 0 281
29 0 146
79 0 276
80 0 282
81 0 144
131 0 277
132 0 280
133 0 144
