[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=199999
YRANGE=0
NAME=D:\UCN2009\A2run210.csv
XTITLE=x
YTITLE=y

[DATA]
26 0 1
736 0 1
1446 0 1
2156 0 1
2866 0 1
3576 0 1
4286 0 1
4996 0 1
5706 0 1
